Date,Link,City,Title,Type,Company,Experience
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8306/link,Cluj-Napoca,Internship DevOps Engineer,Internship,Betfair Romania,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8305/link,Cluj-Napoca,Internship QA Engineer,Internship,Betfair Romania,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8304/link,Timișoara,Internship System Test Engineer,Internship,Vitesco Technologies,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8303/link,București,Junior HR Operations Specialist with German,Job,Deutsche Bank,0 - 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8302/link,București,Working Student - R&D Central Management Office,Job,Siemens Energy,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8301/link,București,Working Student – Workforce Transformation & People Develo,Job,Siemens Energy,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8300/link,București,Working Student - IT Employee Engagement&Change Management,Job,Siemens Energy,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8299/link,București,Local Graduate Program – HVDC Commissioning Engineer,Job,Siemens Energy,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8298/link,București,App Cloud Tech Support Associate with Polish,Job,Accenture,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8297/link,București,App Cloud Tech Support Associate with French,Job,Accenture,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8296/link,Remote,Technical Associate,Job,nShift,0 - 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8294/link,Slatina,Junior Data Scientist,Job,Prysmian Group,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8293/link,Slatina,Junior Project Management Assistant,Job,Prysmian Group,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8292/link,Slatina,Junior SAP Treasury,Job,Prysmian Group,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8291/link,București,Associate software engineer (DevOps),Job,Finastra,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8290/link,București,Intern for Config Tools suite,Intern,NXP Semiconductors,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8289/link,Cluj-Napoca,Internship - Regional IT Support Engineer,Internship,Betfair Romania,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8287/link,București,SAS Developer (Trainee) - Internship,Internship,Société Générale,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8286/link,București,Junior Data Steward,Job,Sievo,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8285/link,București,Junior Technical Support (French & English),Job,Concentrix,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8283/link,București,Junior iOS Developer,Job,Deutsche Bank,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8282/link,București,Junior Frontend Developer,Job,Deutsche Bank,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8281/link,București,Junior Android Developer,Job,Deutsche Bank,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8280/link,București,Junior DevOps Engineer,Job,Deutsche Bank,0 - 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8279/link,București,Junior Java Software Engineer,Job,Deutsche Bank,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8278/link,București,Junior Performance QA Engineer,Job,Veeam Software,0 - 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8277/link,Cluj-Napoca,Graduate,Job,SITA,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8276/link,București,Junior ML Data Associate with German,Job,Amazon,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8275/link,București,Global Graduate Programme in HR,Job,BAT,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8274/link,București,Junior Recruitment Admin with French/German/Polish,Job,BAT,0 - 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8273/link,București,Global Graduate Programme in Marketing,Job,BAT,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8272/link,"București, Iași",Junior DICT Asset Management Support,Job,UniCredit,0 - 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8271/link,,Working Student - Purchasing Engineering,Job,Bosch Service Solutions,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8270/link,,Working Student - Maintenance Area,Job,Bosch Service Solutions,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8269/link,București,Graduate Technical Sales Specialist with Turkish,Job,Dell Technologies,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8268/link,Cluj-Napoca,Junior Analytics Consultant,Job,SAP,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8267/link,Sibiu,Working student - Technical field,Job,Siemens,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8266/link,București,Internship - Learning and Development,Internship,METRO România,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8265/link,București,Junior Engineer,Job,LSEG (London Stock Exchange Group),Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8264/link,București,Marketing & Sales Working Student,Job,Bosch Service Solutions,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8263/link,Oradea,Angular Summer Practice 2024,Summer Practice 2024,GlobalLogic,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8262/link,Oradea,Java Summer Practice 2024,Summer Practice 2024,GlobalLogic,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8260/link,Remote,Junior Business Consultant with German,Job,Regnology,0 - 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8259/link,Remote,"Customer Support , Entry Level",Job,Regnology,Fără experiență
